rank,start_row,end_row,start_col,end_col
0,0,271367,0,259195
1,271367,528827,259195,518390
2,528827,781368,518390,777585
3,781368,1040246,777585,1036780
4,1040246,1301381,1036780,1295975
5,1301381,1555964,1295975,1555170
6,1555964,1810323,1555170,1814364
7,1810323,2064153,1814364,2073558
8,2064153,2314843,2073558,2332752
9,2314843,2572793,2332752,2591946
10,2572793,2843331,2591946,2851140
11,2843331,3099164,2851140,3110334
12,3099164,3355037,3110334,3369528
13,3355037,3610920,3369528,3628722
14,3610920,3867372,3628722,3887916
15,3867372,4147110,3887916,4147110
