func,duration,bytes
bytes,0,30631084
bytes,0,30631084
bytes,0,30631084
bytes,0,30631084
bytes,0,30631084
bytes,0,30631084
bytes,0,30631084
bytes,0,30631084
bytes,0,30631084
bytes,0,30631084
global,5.12045e+12,0
bitmaps,2.29616e+12,0
filter,2.98284e+06,0
filter,1.90195e+06,0
filter,1.01868e+06,0
filter,1.27818e+06,0
filter,927441,0
filter,1.29214e+06,0
filter,917170,0
filter,927655,0
filter,913681,0
filter,910095,0
filter,1.61568e+06,0
filter,1.37032e+06,0
filter,6.96129e+06,0
filter,7.23376e+06,0
filter,2.42881e+06,0
filter,877319,0
wait_all,2.97383e+07,0
deserialize,16365,0
mult,1.99153e+07,0
deserialize,3657,0
mult,1.97805e+07,0
deserialize,3210,0
mult,1.97842e+07,0
deserialize,3551,0
mult,7.15989e+08,0
deserialize,3554,0
mult,3.08661e+07,0
deserialize,4807,0
mult,2.69874e+07,0
deserialize,39974,0
mult,2.30305e+07,0
deserialize,4843,0
mult,1.98623e+07,0
deserialize,3552,0
mult,1.98624e+07,0
deserialize,3448,0
mult,1.98471e+07,0
deserialize,3227,0
mult,1.98311e+07,0
deserialize,3255,0
mult,1.9848e+07,0
deserialize,3587,0
mult,1.98937e+07,0
deserialize,3116,0
mult,1.98509e+07,0
deserialize,3736,0
mult,1.98477e+07,0
deserialize,3127,0
mult,1.98428e+07,0
wait_all,9.89104e+07,0
deserialize,4661,0
mult,2.00755e+07,0
deserialize,4243,0
mult,1.99637e+07,0
deserialize,3663,0
mult,1.99713e+07,0
deserialize,3177,0
mult,2.42369e+08,0
deserialize,3917,0
mult,2.00042e+07,0
deserialize,3329,0
mult,1.99581e+07,0
deserialize,18855,0
mult,1.9642e+07,0
deserialize,4169,0
mult,1.995e+07,0
deserialize,3246,0
mult,1.99884e+07,0
deserialize,3957,0
mult,1.99675e+07,0
deserialize,3231,0
mult,1.99502e+07,0
deserialize,3485,0
mult,1.99939e+07,0
deserialize,3135,0
mult,1.99761e+07,0
deserialize,3430,0
mult,1.99743e+07,0
deserialize,3340,0
mult,1.99546e+07,0
deserialize,3209,0
mult,1.99658e+07,0
wait_all,1.16108e+08,0
deserialize,3157,0
mult,2.0141e+07,0
deserialize,3578,0
mult,1.99817e+07,0
deserialize,3021,0
mult,1.99639e+07,0
deserialize,3217,0
mult,2.38961e+08,0
deserialize,3079,0
mult,2.00163e+07,0
deserialize,4131,0
mult,1.99642e+07,0
deserialize,19972,0
mult,1.96223e+07,0
deserialize,3607,0
mult,1.99812e+07,0
deserialize,3548,0
mult,1.99632e+07,0
deserialize,3480,0
mult,1.99484e+07,0
deserialize,3253,0
mult,1.99575e+07,0
deserialize,3416,0
mult,1.99672e+07,0
deserialize,3114,0
mult,1.99844e+07,0
deserialize,3259,0
mult,1.9972e+07,0
deserialize,3032,0
mult,1.99636e+07,0
deserialize,3217,0
mult,1.99559e+07,0
wait_all,1.31723e+08,0
deserialize,3127,0
mult,2.00956e+07,0
deserialize,3432,0
mult,1.99663e+07,0
deserialize,3871,0
mult,1.99728e+07,0
deserialize,3457,0
mult,2.45539e+08,0
deserialize,3578,0
mult,2.00242e+07,0
deserialize,4457,0
mult,1.99601e+07,0
deserialize,19380,0
mult,1.96304e+07,0
deserialize,4117,0
mult,1.99602e+07,0
deserialize,3361,0
mult,1.99607e+07,0
deserialize,3256,0
mult,1.99774e+07,0
deserialize,3466,0
mult,1.99561e+07,0
deserialize,3173,0
mult,1.99793e+07,0
deserialize,3871,0
mult,1.99688e+07,0
deserialize,4013,0
mult,1.99749e+07,0
deserialize,3193,0
mult,1.99544e+07,0
deserialize,3193,0
mult,1.99711e+07,0
wait_all,1.4299e+08,0
deserialize,3018,0
mult,2.01402e+07,0
deserialize,3634,0
mult,1.99787e+07,0
deserialize,3126,0
mult,1.99759e+07,0
deserialize,3245,0
mult,2.39944e+08,0
deserialize,3945,0
mult,1.99866e+07,0
deserialize,3525,0
mult,1.99687e+07,0
deserialize,19723,0
mult,1.96365e+07,0
deserialize,3855,0
mult,1.99539e+07,0
deserialize,3447,0
mult,1.99642e+07,0
deserialize,3133,0
mult,1.99505e+07,0
deserialize,3228,0
mult,1.99514e+07,0
deserialize,3160,0
mult,1.9977e+07,0
deserialize,3150,0
mult,1.99691e+07,0
deserialize,3153,0
mult,1.99704e+07,0
deserialize,3087,0
mult,1.99552e+07,0
deserialize,3147,0
mult,1.99571e+07,0
gemm,5.72848e+08,0
wait_all,2.55601e+07,0
deserialize,2789,0
mult,2.00625e+07,0
deserialize,3557,0
mult,1.99745e+07,0
deserialize,3636,0
mult,1.99702e+07,0
deserialize,3781,0
mult,2.46601e+08,0
deserialize,3281,0
mult,2.00061e+07,0
deserialize,3473,0
mult,1.99788e+07,0
deserialize,18506,0
mult,2.08406e+07,0
deserialize,4777,0
mult,1.99656e+07,0
deserialize,12375,0
mult,1.99811e+07,0
deserialize,3259,0
mult,1.99534e+07,0
deserialize,3734,0
mult,1.99535e+07,0
deserialize,3411,0
mult,1.99776e+07,0
deserialize,2877,0
mult,1.99738e+07,0
deserialize,3045,0
mult,1.99722e+07,0
deserialize,3517,0
mult,1.99625e+07,0
deserialize,3654,0
mult,1.9973e+07,0
gemm,5.76341e+08,0
wait_all,2.56485e+07,0
deserialize,2763,0
mult,2.81622e+07,0
deserialize,3609,0
mult,2.17478e+07,0
deserialize,4607,0
mult,1.99714e+07,0
deserialize,3728,0
mult,2.39576e+08,0
deserialize,2847,0
mult,2.00161e+07,0
deserialize,3444,0
mult,1.99706e+07,0
deserialize,18897,0
mult,2.13965e+07,0
deserialize,3895,0
mult,1.99671e+07,0
deserialize,3909,0
mult,1.99737e+07,0
deserialize,3144,0
mult,1.99548e+07,0
deserialize,3339,0
mult,1.99741e+07,0
deserialize,3040,0
mult,1.99687e+07,0
deserialize,3555,0
mult,1.99783e+07,0
deserialize,3020,0
mult,1.99745e+07,0
deserialize,3994,0
mult,1.99592e+07,0
deserialize,3030,0
mult,1.99664e+07,0
gemm,5.73863e+08,0
wait_all,2.55542e+07,0
deserialize,3638,0
mult,2.00215e+07,0
deserialize,3574,0
mult,1.99593e+07,0
deserialize,3386,0
mult,1.99814e+07,0
deserialize,3623,0
mult,2.4765e+08,0
deserialize,3003,0
mult,2.00065e+07,0
deserialize,3667,0
mult,1.99595e+07,0
deserialize,21067,0
mult,2.09354e+07,0
deserialize,3968,0
mult,1.996e+07,0
deserialize,3717,0
mult,1.99726e+07,0
deserialize,3477,0
mult,1.99415e+07,0
deserialize,3684,0
mult,1.99577e+07,0
deserialize,3517,0
mult,1.99738e+07,0
deserialize,3527,0
mult,1.99717e+07,0
deserialize,3823,0
mult,1.99695e+07,0
deserialize,4258,0
mult,1.99546e+07,0
deserialize,3384,0
mult,1.99598e+07,0
gemm,5.65014e+08,0
wait_all,2.5539e+07,0
deserialize,3187,0
mult,2.004e+07,0
deserialize,3678,0
mult,1.99634e+07,0
deserialize,3185,0
mult,1.99618e+07,0
deserialize,3198,0
mult,2.40075e+08,0
deserialize,2649,0
mult,2.00168e+07,0
deserialize,3138,0
mult,1.99699e+07,0
deserialize,20431,0
mult,1.96263e+07,0
deserialize,4157,0
mult,1.99414e+07,0
deserialize,3117,0
mult,1.99759e+07,0
deserialize,3177,0
mult,1.99557e+07,0
deserialize,3085,0
mult,1.99562e+07,0
deserialize,3131,0
mult,1.99801e+07,0
deserialize,3616,0
mult,1.99686e+07,0
deserialize,3641,0
mult,1.99831e+07,0
deserialize,3079,0
mult,1.99689e+07,0
deserialize,3082,0
mult,1.99633e+07,0
gemm,5.74163e+08,0
wait_all,2.53073e+07,0
deserialize,2776,0
mult,2.00568e+07,0
deserialize,4298,0
mult,1.99754e+07,0
deserialize,3198,0
mult,1.99713e+07,0
deserialize,3828,0
mult,2.48127e+08,0
deserialize,2844,0
mult,2.00006e+07,0
deserialize,3710,0
mult,1.99741e+07,0
deserialize,20257,0
mult,2.09179e+07,0
deserialize,4655,0
mult,1.99549e+07,0
deserialize,3432,0
mult,1.99665e+07,0
deserialize,3608,0
mult,1.99493e+07,0
deserialize,3288,0
mult,1.99511e+07,0
deserialize,3859,0
mult,1.99798e+07,0
deserialize,3376,0
mult,1.99591e+07,0
deserialize,3785,0
mult,2.00037e+07,0
deserialize,3215,0
mult,1.99704e+07,0
deserialize,3189,0
mult,1.9965e+07,0
gemm,5.66151e+08,0
wait_all,2.63623e+07,0
deserialize,2623,0
mult,2.00369e+07,0
deserialize,3160,0
mult,1.99806e+07,0
deserialize,2995,0
mult,1.99709e+07,0
deserialize,3523,0
mult,2.40306e+08,0
deserialize,2687,0
mult,2.00048e+07,0
deserialize,3923,0
mult,1.99795e+07,0
deserialize,20978,0
mult,1.96446e+07,0
deserialize,3633,0
mult,1.99538e+07,0
deserialize,3155,0
mult,1.99807e+07,0
deserialize,3460,0
mult,1.99577e+07,0
deserialize,3128,0
mult,1.99622e+07,0
deserialize,2952,0
mult,1.99691e+07,0
deserialize,3114,0
mult,2.00031e+07,0
deserialize,2953,0
mult,1.99744e+07,0
deserialize,3566,0
mult,1.99649e+07,0
deserialize,2989,0
mult,1.99701e+07,0
gemm,5.74516e+08,0
wait_all,2.55577e+07,0
deserialize,2387,0
mult,2.00593e+07,0
deserialize,3849,0
mult,1.99733e+07,0
deserialize,3470,0
mult,1.99744e+07,0
deserialize,3676,0
mult,2.48277e+08,0
deserialize,3789,0
mult,1.99913e+07,0
deserialize,3526,0
mult,1.99619e+07,0
deserialize,29663,0
mult,2.09204e+07,0
deserialize,3913,0
mult,1.99681e+07,0
deserialize,3349,0
mult,1.99747e+07,0
deserialize,3712,0
mult,1.99553e+07,0
deserialize,3550,0
mult,1.99665e+07,0
deserialize,3291,0
mult,1.9963e+07,0
deserialize,3514,0
mult,1.99506e+07,0
deserialize,3236,0
mult,1.99735e+07,0
deserialize,4198,0
mult,1.99518e+07,0
deserialize,3243,0
mult,1.99554e+07,0
gemm,5.67028e+08,0
wait_all,2.71756e+07,0
deserialize,2372,0
mult,2.01093e+07,0
deserialize,3343,0
mult,1.9977e+07,0
deserialize,3114,0
mult,1.99819e+07,0
deserialize,3586,0
mult,2.40409e+08,0
deserialize,3025,0
mult,1.9983e+07,0
deserialize,3928,0
mult,1.99722e+07,0
deserialize,19849,0
mult,1.96426e+07,0
deserialize,3842,0
mult,1.99566e+07,0
deserialize,3324,0
mult,1.99692e+07,0
deserialize,3251,0
mult,1.99427e+07,0
deserialize,3731,0
mult,1.9952e+07,0
deserialize,3200,0
mult,1.99609e+07,0
deserialize,3382,0
mult,1.99803e+07,0
deserialize,3827,0
mult,1.99669e+07,0
deserialize,3338,0
mult,1.99496e+07,0
deserialize,3809,0
mult,1.99673e+07,0
gemm,5.73436e+08,0
wait_all,2.52738e+07,0
deserialize,2689,0
mult,2.0108e+07,0
deserialize,4207,0
mult,1.99768e+07,0
deserialize,3697,0
mult,1.99783e+07,0
deserialize,4045,0
mult,2.48536e+08,0
deserialize,3020,0
mult,1.9985e+07,0
deserialize,3786,0
mult,1.9971e+07,0
deserialize,20176,0
mult,1.97571e+07,0
deserialize,4040,0
mult,1.99626e+07,0
deserialize,3682,0
mult,1.99634e+07,0
deserialize,3564,0
mult,1.99656e+07,0
deserialize,3404,0
mult,1.99627e+07,0
deserialize,3814,0
mult,1.99651e+07,0
deserialize,3357,0
mult,1.99709e+07,0
deserialize,3062,0
mult,1.99803e+07,0
deserialize,3639,0
mult,1.99568e+07,0
deserialize,3273,0
mult,1.99721e+07,0
gemm,5.67164e+08,0
wait_all,2.55095e+07,0
deserialize,2864,0
mult,2.00554e+07,0
deserialize,3376,0
mult,1.99676e+07,0
deserialize,3673,0
mult,1.99733e+07,0
deserialize,3227,0
mult,2.40522e+08,0
deserialize,3170,0
mult,1.99994e+07,0
deserialize,3510,0
mult,1.99775e+07,0
deserialize,19363,0
mult,2.13612e+07,0
deserialize,4266,0
mult,1.99626e+07,0
deserialize,3451,0
mult,1.99819e+07,0
deserialize,3136,0
mult,1.99462e+07,0
deserialize,3262,0
mult,1.995e+07,0
deserialize,3793,0
mult,1.99709e+07,0
deserialize,3595,0
mult,1.99782e+07,0
deserialize,3050,0
mult,1.99587e+07,0
deserialize,10317,0
mult,1.99505e+07,0
deserialize,2991,0
mult,1.99613e+07,0
