rank,start_row,end_row,start_col,end_col
0,0,1093,0,1093
1,1093,2186,1093,2186
2,2186,3279,2186,3279
3,3279,4372,3279,4372
4,4372,5465,4372,5465
5,5465,6558,5465,6558
6,6558,7651,6558,7651
7,7651,8744,7651,8744
8,8744,9837,8744,9837
9,9837,10929,9837,10929
10,10929,12021,10929,12021
11,12021,13113,12021,13113
12,13113,14205,13113,14205
13,14205,15297,14205,15297
14,15297,16389,15297,16389
15,16389,17481,16389,17481
16,17481,18573,17481,18573
17,18573,19665,18573,19665
18,19665,20757,19665,20757
19,20757,21849,20757,21849
20,21849,22941,21849,22941
21,22941,24033,22941,24033
22,24033,25125,24033,25125
23,25125,26217,25125,26217
24,26217,27309,26217,27309
25,27309,28401,27309,28401
26,28401,29493,28401,29493
27,29493,30585,29493,30585
28,30585,31677,30585,31677
29,31677,32769,31677,32769
