func,duration,bytes
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
bytes,0,0
global,3.14674e+12,0
partition,1.55457e+07,0
read_triplets,2.14717e+12,0
triplets_to_map,3.29578e+09,0
read_triplets,6.74313e+10,0
triplets_to_map,3.53816e+09,0
bitmaps,3.83484e+06,0
filter,7.64935e+07,0
filter,7.67756e+07,0
filter,7.68314e+07,0
filter,5.00137e+06,0
filter,2.14273e+06,0
filter,1.9764e+06,0
filter,1.48597e+06,0
filter,1.49243e+06,0
filter,2.13196e+06,0
filter,649718,0
filter,593705,0
filter,971608,0
filter,590703,0
filter,494975,0
filter,267905,0
filter,144693,0
wait_all,3.69897e+08,0
deserialize,21222,0
mult,5.21255e+09,0
deserialize,14794,0
mult,1.97272e+09,0
deserialize,23820,0
mult,2.60944e+07,0
deserialize,9997,0
mult,1.31755e+07,0
deserialize,10617,0
mult,1.30886e+07,0
deserialize,10850,0
mult,1.30753e+07,0
deserialize,11176,0
mult,1.31411e+07,0
deserialize,11732,0
mult,1.30655e+07,0
deserialize,11547,0
mult,1.31361e+07,0
deserialize,11598,0
mult,1.30836e+07,0
deserialize,11199,0
mult,1.30734e+07,0
deserialize,11561,0
mult,1.30896e+07,0
deserialize,10709,0
mult,1.30766e+07,0
deserialize,10739,0
mult,1.31199e+07,0
deserialize,10971,0
mult,1.30683e+07,0
deserialize,11210,0
mult,1.31655e+07,0
wait_all,5.33178e+09,0
deserialize,16745,0
mult,5.03078e+09,0
deserialize,15929,0
mult,1.89275e+09,0
deserialize,8255,0
mult,2.53082e+07,0
deserialize,7244,0
mult,1.31572e+07,0
deserialize,9132,0
mult,1.31185e+07,0
deserialize,10023,0
mult,1.30957e+07,0
deserialize,9939,0
mult,1.3156e+07,0
deserialize,10796,0
mult,1.30783e+07,0
deserialize,10682,0
mult,1.31342e+07,0
deserialize,10094,0
mult,1.31022e+07,0
deserialize,10086,0
mult,1.30844e+07,0
deserialize,9810,0
mult,1.30811e+07,0
deserialize,9867,0
mult,1.30748e+07,0
deserialize,10295,0
mult,1.30682e+07,0
deserialize,10233,0
mult,1.31337e+07,0
deserialize,10294,0
mult,1.30876e+07,0
wait_all,4.47257e+09,0
deserialize,18478,0
mult,5.03001e+09,0
deserialize,15916,0
mult,1.89301e+09,0
deserialize,6900,0
mult,2.53036e+07,0
deserialize,11905,0
mult,1.31701e+07,0
deserialize,10623,0
mult,1.30986e+07,0
deserialize,10266,0
mult,1.30947e+07,0
deserialize,10641,0
mult,1.31087e+07,0
deserialize,10109,0
mult,1.30956e+07,0
deserialize,10070,0
mult,1.30861e+07,0
deserialize,9982,0
mult,1.30933e+07,0
deserialize,10288,0
mult,1.31141e+07,0
deserialize,10786,0
mult,1.30945e+07,0
deserialize,9643,0
mult,1.31046e+07,0
deserialize,9443,0
mult,1.30914e+07,0
deserialize,10939,0
mult,1.3113e+07,0
deserialize,9815,0
mult,1.3112e+07,0
wait_all,4.36802e+09,0
deserialize,16794,0
mult,5.04402e+09,0
deserialize,14862,0
mult,1.91937e+09,0
deserialize,8130,0
mult,3.03346e+07,0
deserialize,10577,0
mult,1.32128e+07,0
deserialize,9921,0
mult,1.31304e+07,0
deserialize,10872,0
mult,1.31279e+07,0
deserialize,10607,0
mult,1.3112e+07,0
deserialize,10459,0
mult,1.31167e+07,0
deserialize,10087,0
mult,1.31459e+07,0
deserialize,10560,0
mult,1.31873e+07,0
deserialize,9770,0
mult,1.31172e+07,0
deserialize,10775,0
mult,1.30985e+07,0
deserialize,9716,0
mult,1.31375e+07,0
deserialize,9855,0
mult,1.3113e+07,0
deserialize,10454,0
mult,1.31297e+07,0
deserialize,10367,0
mult,1.31037e+07,0
wait_all,4.23771e+09,0
deserialize,15718,0
mult,5.04417e+09,0
deserialize,15367,0
mult,1.92619e+09,0
deserialize,8134,0
mult,2.54575e+07,0
deserialize,11151,0
mult,1.31535e+07,0
deserialize,10338,0
mult,1.31371e+07,0
deserialize,11069,0
mult,1.30924e+07,0
deserialize,11746,0
mult,1.31634e+07,0
deserialize,11233,0
mult,1.30844e+07,0
deserialize,11330,0
mult,1.31427e+07,0
deserialize,10949,0
