rank,start_row,end_row,start_col,end_col
0,0,126074,0,126074
1,126074,252147,126074,252147
2,252147,378220,252147,378220
3,378220,504293,378220,504293
4,504293,630366,504293,630366
5,630366,756439,630366,756439
6,756439,882512,756439,882512
7,882512,1008585,882512,1008585
8,1008585,1134658,1008585,1134658
9,1134658,1260731,1134658,1260731
10,1260731,1386804,1260731,1386804
11,1386804,1512877,1386804,1512877
12,1512877,1638950,1512877,1638950
13,1638950,1765023,1638950,1765023
14,1765023,1891096,1765023,1891096
15,1891096,2017169,1891096,2017169
