rank,start_row,end_row,start_col,end_col
0,0,259195,0,259195
1,259195,518390,259195,518390
2,518390,777585,518390,777585
3,777585,1036780,777585,1036780
4,1036780,1295975,1036780,1295975
5,1295975,1555170,1295975,1555170
6,1555170,1814364,1555170,1814364
7,1814364,2073558,1814364,2073558
8,2073558,2332752,2073558,2332752
9,2332752,2591946,2332752,2591946
10,2591946,2851140,2591946,2851140
11,2851140,3110334,2851140,3110334
12,3110334,3369528,3110334,3369528
13,3369528,3628722,3369528,3628722
14,3628722,3887916,3628722,3887916
15,3887916,4147110,3887916,4147110
