rank,start_row,end_row,start_col,end_col
0,0,1749600,0,1749600
1,1749600,3499200,1749600,3499200
2,3499200,5248800,3499200,5248800
3,5248800,6998400,5248800,6998400
4,6998400,8748000,6998400,8748000
5,8748000,10497600,8748000,10497600
6,10497600,12247200,10497600,12247200
7,12247200,13996800,12247200,13996800
8,13996800,15746400,13996800,15746400
9,15746400,17496000,15746400,17496000
10,17496000,19245600,17496000,19245600
11,19245600,20995200,19245600,20995200
12,20995200,22744800,20995200,22744800
13,22744800,24494400,22744800,24494400
14,24494400,26244000,24494400,26244000
15,26244000,27993600,26244000,27993600
